salary,age,height,weight,gp,pts,reb,ast,net_rtg,oreb_p,dreb_p,usg_p,ts_p,ast_p,foreign
8604651,27,77,186,28,8.4,3.9,3.9,9.1,0.032,0.106,0.136,0.563,0.191,0
8526316,29,77,185,46,4.3,2.7,2.5,0.7,0.037,0.112,0.11,0.554,0.2,0
8437500,23,74,200,45,9.8,4.4,2.7,5.4,0.04,0.141,0.2,0.492,0.161,0
8372093,29,81,245,26,8.4,5,0.8,-16.9,0.053,0.155,0.167,0.554,0.062,1
8333333,26,74,183,48,12.7,3,4.2,7.4,0.012,0.086,0.181,0.563,0.191,0
8326471,23,73,164,46,28.1,4,9.2,1.3,0.018,0.095,0.341,0.592,0.426,0
8292683,31,80,227,39,5.9,3.7,0.8,-8.5,0.061,0.191,0.186,0.547,0.091,0
8231760,20,79,180,45,19.9,7.2,7.7,0.4,0.045,0.167,0.269,0.544,0.346,0
8186047,31,74,185,42,15.5,3.4,4.1,4.2,0.012,0.083,0.184,0.617,0.18,0
8137500,31,83,254,43,6.8,7.6,2.9,0.2,0.087,0.193,0.117,0.589,0.151,0
8075160,20,83,215,44,15.2,8.2,2.6,3.8,0.056,0.168,0.199,0.551,0.118,0
8050000,26,79,230,40,10.8,2.4,2,1.3,0.018,0.079,0.201,0.545,0.127,1
7775400,24,80,221,23,12.8,3.3,1.1,-2.2,0.012,0.101,0.195,0.558,0.055,0
7568742,23,84,231,42,10.2,8,1.3,-10.6,0.076,0.206,0.165,0.568,0.08,0
7522200,25,72,196,47,8,2.6,4.1,4.8,0.012,0.108,0.155,0.561,0.28,0
7518518,24,84,240,48,9.6,8,1.3,-5.7,0.107,0.214,0.152,0.687,0.079,1
7422000,20,79,215,5,6.6,2.2,0.6,5.3,0.008,0.08,0.093,0.666,0.033,0
7310000,30,75,200,40,8.5,2.4,3.9,-7,0.017,0.086,0.15,0.596,0.251,1
7280520,20,79,225,42,14.7,7.8,3.4,0.9,0.067,0.142,0.183,0.536,0.143,0
7040880,22,73,192,44,19.8,3.3,8.2,9.1,0.016,0.074,0.255,0.577,0.37,0
7009615,29,81,200,48,9,5.9,0.4,2.7,0.091,0.184,0.179,0.553,0.027,1
7000000,36,77,245,46,8.7,5.4,2.2,6.3,0.052,0.14,0.123,0.63,0.11,0
7000000,34,71,183,34,5.4,1.2,2.2,-13.5,0.013,0.067,0.158,0.596,0.215,0
6920027,22,82,270,44,13.6,10.3,2.6,-3.9,0.068,0.267,0.195,0.585,0.143,0
6720720,21,77,225,37,9.2,3.3,1.8,4.5,0.039,0.073,0.139,0.568,0.089,0
6593040,20,77,205,32,12.3,3.7,4.2,-6.1,0.023,0.097,0.243,0.456,0.232,0
6500000,27,73,183,40,10.5,2.8,3.6,5.3,0.018,0.105,0.246,0.498,0.276,0
6395160,22,78,195,23,4,1.6,1,6.9,0.031,0.124,0.186,0.478,0.145,0
6350000,29,81,233,24,5.5,5,1.2,3.1,0.116,0.129,0.115,0.547,0.078,1
6349671,23,73,190,11,16,3.3,2.1,-5.8,0.041,0.066,0.264,0.523,0.125,0
6175440,26,81,214,22,1.2,1.8,0.3,-10.7,0.08,0.17,0.128,0.345,0.058,1
6104280,21,80,240,19,9.2,6.1,1.1,8.3,0.104,0.154,0.141,0.738,0.069,0
6006420,32,78,180,47,11.1,2.8,1.9,-3.3,0.012,0.086,0.156,0.574,0.091,0
5988000,19,80,205,45,11.7,7.6,6.2,-8.3,0.051,0.173,0.212,0.467,0.319,1
5890000,35,80,250,34,9,4.7,1.1,7.2,0.049,0.17,0.19,0.548,0.082,0
5890000,33,72,180,50,13.8,2.2,2.6,5,0.007,0.057,0.168,0.6,0.112,1
5890000,28,73,172,46,14.4,3.3,4.3,1.7,0.019,0.092,0.227,0.539,0.235,1
5837760,21,76,195,33,12.9,2.8,2.7,-3.2,0.011,0.09,0.203,0.56,0.141,0
5572680,20,77,195,39,6.2,2.9,3.9,-10.9,0.016,0.1,0.143,0.444,0.222,1
5557725,25,78,209,51,12.9,4.3,2.1,9,0.031,0.087,0.139,0.614,0.08,0
5495532,23,78,180,43,22.7,4.7,5.5,-5.1,0.018,0.106,0.289,0.531,0.276,1
5466360,19,79,225,40,6.8,2.5,0.5,2.6,0.045,0.138,0.233,0.562,0.074,1
5421493,23,79,225,50,19.9,7.2,3.4,2,0.031,0.162,0.221,0.581,0.136,0
5348280,21,83,220,39,7.6,3.7,0.4,-4.7,0.082,0.158,0.179,0.665,0.049,0
5333333,29,77,209,50,10.2,4.4,1.3,-1.1,0.024,0.129,0.132,0.632,0.069,0
5258735,23,82,218,9,9.9,6.6,1.9,9.8,0.035,0.172,0.192,0.416,0.085,0
5200000,23,77,202,44,10.6,4.5,1.3,-8,0.047,0.151,0.203,0.545,0.097,0
5178572,25,81,222,52,6.2,7.6,1.7,9.2,0.136,0.208,0.128,0.574,0.104,0
5170564,22,78,215,40,4.7,3.2,1.2,-6,0.041,0.147,0.125,0.529,0.095,0
5105160,23,81,220,47,7.7,3.7,1,10.2,0.059,0.162,0.195,0.609,0.099,0
5007840,20,82,220,53,15.8,4.6,2.9,-6.1,0.031,0.105,0.211,0.556,0.146,1
5005350,24,80,207,39,7.1,3.2,1.3,-8.9,0.023,0.154,0.189,0.501,0.11,0
5000000,33,84,281,23,8.4,3.8,1.8,-8,0.106,0.087,0.194,0.598,0.174,0
5000000,35,74,175,36,7.1,1.6,2,0.1,0.018,0.083,0.226,0.516,0.219,0
5000000,34,84,270,45,9.8,6.9,0.6,8.1,0.135,0.263,0.22,0.676,0.063,0
4916160,23,80,230,12,7.8,3.5,1,-4.7,0.014,0.179,0.203,0.548,0.1,1
4910000,36,81,232,34,3.4,4.3,0.6,3.9,0.084,0.142,0.091,0.56,0.054,0
4910000,35,77,195,49,5.7,2.7,1.3,-15.6,0.025,0.11,0.137,0.5,0.102,0
4878049,31,79,221,48,6.5,3.6,1.2,-7.7,0.055,0.124,0.14,0.565,0.089,0
4692840,21,81,210,51,7.4,4.8,1.6,1.6,0.03,0.173,0.145,0.542,0.097,1
4675830,25,76,203,14,6.8,3.7,1.7,-5.6,0.053,0.116,0.19,0.456,0.124,0
4670160,22,80,217,37,11.3,2.4,1,-9.3,0.022,0.08,0.224,0.535,0.076,0
4650000,29,77,219,33,5.4,3.9,0.8,-4.2,0.056,0.202,0.152,0.547,0.085,0
4629630,24,79,202,45,9,3,2.4,0.9,0.013,0.106,0.174,0.506,0.139,1
4603320,23,72,202,47,9.8,2.3,3.3,-4.8,0.019,0.066,0.191,0.465,0.203,0
4500000,35,80,235,47,10.4,3.1,1.2,0.3,0.023,0.102,0.166,0.61,0.068,0
4500000,33,72,175,34,4.6,1.5,2.6,-6.6,0.017,0.086,0.187,0.438,0.28,0
4458000,21,82,215,26,6.3,5,0.2,10.8,0.132,0.208,0.196,0.551,0.022,0
4447896,23,76,204,49,11.2,2.6,2.3,-2.2,0.01,0.094,0.227,0.492,0.148,0
4437000,25,80,210,48,12.1,4.4,1.2,6.5,0.022,0.131,0.16,0.627,0.065,0
4373160,20,81,185,34,7.2,1.9,0.9,-0.9,0.014,0.067,0.141,0.52,0.057,0
4347600,28,79,220,35,4.1,2.3,0.5,-3.6,0.016,0.098,0.106,0.513,0.036,0
4347600,26,82,250,44,14.9,9.2,1.2,5.5,0.091,0.204,0.212,0.568,0.065,0
4259259,22,81,214,47,7.3,9,1.4,6.9,0.113,0.218,0.11,0.618,0.07,0
4253357,23,79,198,44,11.7,3.2,2.8,4.6,0.014,0.091,0.168,0.576,0.133,0
4235160,21,77,200,45,11.4,4.3,1.5,0.5,0.021,0.14,0.185,0.537,0.081,0
4215120,23,79,230,35,9.9,5.2,2.1,0.9,0.048,0.163,0.17,0.582,0.122,0
4154400,21,76,190,24,5,1.6,0.8,-11.4,0.062,0.083,0.226,0.481,0.122,0
4087904,23,76,213,32,2.7,1.9,0.6,0,0.052,0.082,0.103,0.476,0.061,1
4054695,26,76,198,44,11.8,3.5,1.5,5,0.019,0.096,0.159,0.582,0.073,0
4023600,21,77,185,49,14.4,3.8,7.3,-6.5,0.02,0.087,0.177,0.581,0.316,0
4004280,22,77,195,44,20.1,4.8,4,3.3,0.019,0.123,0.28,0.533,0.206,0
4000000,24,76,201,30,10.4,3.1,1.3,4.4,0.019,0.138,0.244,0.543,0.107,0
4000000,32,82,248,34,3.4,3,0.8,-6.6,0.086,0.231,0.153,0.597,0.148,1
4000000,35,76,188,41,7,3.2,2.5,14.2,0.032,0.084,0.117,0.564,0.127,0
4000000,28,79,220,51,10,4.9,2,3.4,0.05,0.1,0.138,0.558,0.087,0
3980551,25,72,185,39,5.8,1.6,1.8,-5.4,0.011,0.087,0.171,0.547,0.181,0
3946800,19,76,189,24,4.6,1.7,1.3,-2.6,0.039,0.069,0.162,0.478,0.117,1
3940184,27,80,209,22,2.1,1,0.3,-14,0.021,0.108,0.146,0.438,0.061,0
3938818,22,75,181,46,15.7,2.7,3.7,-0.4,0.015,0.078,0.232,0.574,0.209,0
