salary,gender,age,height,pts,ast,usg_p,foreign
2327220,0,27,83,9.2,1.3,0.214,1
2316240,0,21,77,9.8,1.3,0.155,0
2303040,0,20,76,7.2,2.4,0.194,0
2259240,0,20,75,7.2,1.7,0.2,0
2239544,0,29,80,3.4,0.8,0.104,0
2239544,0,27,75,3.0,2.0,0.172,0
2239200,0,25,78,2.7,0.7,0.121,0
2210640,0,22,75,10.0,3.0,0.213,0
2197674,0,25,77,4.7,1.5,0.095,0
2168760,0,21,76,5.9,1.0,0.155,0
2161440,0,22,76,16.9,3.4,0.241,0
2161152,0,22,86,2.4,0.4,0.16,1
2145720,0,22,78,15.1,1.8,0.197,0
2137440,0,24,73,4.7,1.7,0.179,0
2130240,0,21,76,13.4,6.2,0.236,0
2096880,0,21,74,8.4,1.9,0.232,0
2089448,0,29,74,7.3,2.6,0.184,1
2089448,0,33,81,6.4,1.8,0.191,1
2089448,0,28,84,10.6,1.4,0.185,0
2075880,0,22,84,2.2,0.0,0.126,1
2063280,0,21,81,8.3,1.2,0.144,0
2048040,0,23,73,3.1,1.0,0.164,0
2036280,0,20,75,7.5,1.0,0.193,1
2033160,0,23,77,18.0,2.4,0.224,0
2023800,0,19,76,1.0,0.0,0.118,0
2009040,0,20,81,6.3,0.3,0.215,0
2000000,0,20,76,3.4,1.0,0.164,1
2000000,0,23,81,3.7,0.6,0.125,1
2000000,0,21,80,7.1,1.0,0.146,0
2000000,0,28,77,2.4,0.5,0.139,1
1994520,0,21,83,3.3,0.5,0.16,1
1939350,0,30,76,4.6,0.8,0.136,0
1939350,0,29,75,7.3,0.9,0.145,0
1939350,0,27,77,5.7,1.2,0.115,0
1846738,0,25,77,10.5,2.8,0.199,0
1802057,0,23,84,8.5,0.5,0.11,0
1789256,0,24,82,3.5,0.5,0.131,0
1789256,0,27,78,2.6,0.3,0.11,0
1789256,0,24,75,12.4,2.4,0.181,0
1789256,0,23,76,4.5,1.3,0.164,1
1786878,0,22,77,0.0,0.5,0.188,1
1782621,0,25,77,10.1,2.2,0.148,0
1782621,0,22,83,9.5,0.9,0.159,0
1782621,0,22,75,16.7,1.7,0.22,1
1782621,0,22,80,3.7,0.7,0.141,0
1782621,0,25,78,5.5,0.6,0.169,0
1782621,0,23,81,9.0,1.0,0.151,0
1782621,0,26,78,8.0,2.6,0.123,0
1782621,0,23,81,0.9,0.1,0.139,1
1762796,0,25,81,4.8,1.0,0.169,0
1729217,0,29,78,3.0,0.6,0.138,1
1729217,0,24,79,5.8,1.0,0.155,1
1729217,0,24,83,7.6,1.1,0.224,1
1729217,0,26,80,5.5,0.6,0.138,0
1701593,0,28,78,4.7,2.0,0.152,0
1700000,0,23,79,9.3,2.1,0.132,0
1690507,0,26,78,2.6,0.7,0.119,1
1669178,0,25,77,11.3,1.3,0.18,0
1669178,0,27,75,4.4,0.5,0.14,0
1669178,0,29,73,1.8,1.4,0.143,1
1669178,0,25,71,2.7,2.5,0.129,0
1669178,0,28,77,6.7,1.0,0.115,0
1669178,0,25,75,9.3,3.3,0.182,0
1517981,0,20,81,2.0,0.0,0.178,0
